modzcta,year_month,RentIndex,y_next,target_month
10001,2022-01,4571.6988962225305,4662.962919807245,2022-02
10001,2022-02,4662.962919807245,4675.350642923636,2022-03
10001,2022-03,4675.350642923636,4727.069474555739,2022-04
10001,2022-04,4727.069474555739,4760.586365396941,2022-05
10001,2022-05,4760.586365396941,4865.114655552162,2022-06
10001,2022-06,4865.114655552162,4960.045179689553,2022-07
10001,2022-07,4960.045179689553,5010.179539235903,2022-08
10001,2022-08,5010.179539235903,5007.638593411143,2022-09
10001,2022-09,5007.638593411143,4946.175035702908,2022-10
10001,2022-10,4946.175035702908,4850.17355661115,2022-11
10001,2022-11,4850.17355661115,4737.438305192581,2022-12
10001,2022-12,4737.438305192581,4696.673172124151,2023-01
10001,2023-01,4696.673172124151,4715.952054136164,2023-02
10001,2023-02,4715.952054136164,4770.811757521977,2023-03
10001,2023-03,4770.811757521977,4857.606120146578,2023-04
10001,2023-04,4857.606120146578,4920.316415619631,2023-05
10001,2023-05,4920.316415619631,5006.290020328107,2023-06
10001,2023-06,5006.290020328107,5050.989171369155,2023-07
10001,2023-07,5050.989171369155,5093.804811127589,2023-08
10001,2023-08,5093.804811127589,5076.553811634361,2023-09
10001,2023-09,5076.553811634361,5006.409249397416,2023-10
10001,2023-10,5006.409249397416,4918.880054486573,2023-11
10001,2023-11,4918.880054486573,4852.83570074741,2023-12
10002,2022-01,3512.802053108095,3535.250660237707,2022-02
10002,2022-02,3535.250660237707,3594.889362316462,2022-03
10002,2022-03,3594.889362316462,3643.930137766784,2022-04
10002,2022-04,3643.930137766784,3706.987500959049,2022-05
10002,2022-05,3706.987500959049,3755.129235768237,2022-06
10002,2022-06,3755.129235768237,3800.189987158773,2022-07
10002,2022-07,3800.189987158773,3837.070886707127,2022-08
10002,2022-08,3837.070886707127,3845.118804322552,2022-09
10002,2022-09,3845.118804322552,3831.290852826137,2022-10
10002,2022-10,3831.290852826137,3757.714158685677,2022-11
10002,2022-11,3757.714158685677,3699.34925728942,2022-12
10002,2022-12,3699.34925728942,3663.1641919554486,2023-01
10002,2023-01,3663.1641919554486,3676.694999099357,2023-02
10002,2023-02,3676.694999099357,3699.455937688358,2023-03
10002,2023-03,3699.455937688358,3738.007818095049,2023-04
10002,2023-04,3738.007818095049,3778.451811294136,2023-05
10002,2023-05,3778.451811294136,3836.446727958892,2023-06
10002,2023-06,3836.446727958892,3851.664994341664,2023-07
10002,2023-07,3851.664994341664,3864.747254432397,2023-08
10002,2023-08,3864.747254432397,3850.482127466472,2023-09
10002,2023-09,3850.482127466472,3822.954749192672,2023-10
10002,2023-10,3822.954749192672,3755.217200626538,2023-11
10002,2023-11,3755.217200626538,3687.8585952312055,2023-12
10003,2022-01,3846.0057193159214,3943.96465256678,2022-02
10003,2022-02,3943.96465256678,4020.224650444042,2022-03
10003,2022-03,4020.224650444042,4084.2449636498,2022-04
10003,2022-04,4084.2449636498,4131.566071334376,2022-05
10003,2022-05,4131.566071334376,4191.894202849108,2022-06
10003,2022-06,4191.894202849108,4225.484428343855,2022-07
10003,2022-07,4225.484428343855,4258.443147426654,2022-08
10003,2022-08,4258.443147426654,4242.736770684741,2022-09
10003,2022-09,4242.736770684741,4208.6619520952245,2022-10
10003,2022-10,4208.6619520952245,4161.108150365159,2022-11
10003,2022-11,4161.108150365159,4138.712147502498,2022-12
10003,2022-12,4138.712147502498,4131.256148549246,2023-01
10003,2023-01,4131.256148549246,4170.091973336926,2023-02
10003,2023-02,4170.091973336926,4198.381468399235,2023-03
10003,2023-03,4198.381468399235,4244.13590636111,2023-04
10003,2023-04,4244.13590636111,4274.68326639108,2023-05
10003,2023-05,4274.68326639108,4314.450818907091,2023-06
10003,2023-06,4314.450818907091,4347.611268515865,2023-07
10003,2023-07,4347.611268515865,4344.562824967459,2023-08
10003,2023-08,4344.562824967459,4325.690353845588,2023-09
10003,2023-09,4325.690353845588,4296.077920138819,2023-10
10003,2023-10,4296.077920138819,4254.0700833790615,2023-11
10003,2023-11,4254.0700833790615,4199.197089352653,2023-12
10004,2022-01,3893.08757069961,3967.354988664,2022-02
10004,2022-02,3967.354988664,4087.320193465572,2022-03
10004,2022-03,4087.320193465572,4117.389649597318,2022-04
10004,2022-04,4117.389649597318,4196.873264280539,2022-05
10004,2022-05,4196.873264280539,4237.512295025065,2022-06
10004,2022-06,4237.512295025065,4296.503187777345,2022-07
10004,2022-07,4296.503187777345,4328.498770834675,2022-08
10004,2022-08,4328.498770834675,4324.097670246393,2022-09
10004,2022-09,4324.097670246393,4238.843935189399,2022-10
10004,2022-10,4238.843935189399,4124.920627886347,2022-11
10004,2022-11,4124.920627886347,3978.152484298582,2022-12
10004,2022-12,3978.152484298582,3946.8549685123776,2023-01
10004,2023-01,3946.8549685123776,3980.3230959292937,2023-02
10004,2023-02,3980.3230959292937,4081.7243370374135,2023-03
10004,2023-03,4081.7243370374135,4228.466048547181,2023-04
10004,2023-04,4228.466048547181,4312.367339215352,2023-05
10004,2023-05,4312.367339215352,4354.952590490439,2023-06
10004,2023-06,4354.952590490439,4341.445578030277,2023-07
10004,2023-07,4341.445578030277,4342.234239201812,2023-08
10004,2023-08,4342.234239201812,4346.18691858112,2023-09
10004,2023-09,4346.18691858112,4379.794249425241,2023-10
10004,2023-10,4379.794249425241,4299.135883203754,2023-11
10004,2023-11,4299.135883203754,4148.513796199119,2023-12
10005,2022-01,3935.289270825157,3988.7022129165134,2022-02
10005,2022-02,3988.7022129165134,4082.841969846709,2022-03
10005,2022-03,4082.841969846709,4088.6347555271714,2022-04
10005,2022-04,4088.6347555271714,4195.775053648936,2022-05
10005,2022-05,4195.775053648936,4289.463163284408,2022-06
10005,2022-06,4289.463163284408,4225.747688852289,2022-07
10005,2022-07,4225.747688852289,4187.688177598207,2022-08
10005,2022-08,4187.688177598207,4160.0178181555,2022-09
10005,2022-09,4160.0178181555,4186.762949160468,2022-10
10005,2022-10,4186.762949160468,4180.738260836065,2022-11
10005,2022-11,4180.738260836065,4122.054076819636,2022-12
10005,2022-12,4122.054076819636,4123.645281570144,2023-01
10005,2023-01,4123.645281570144,4103.609598914044,2023-02
10005,2023-02,4103.609598914044,4142.23776114293,2023-03
10005,2023-03,4142.23776114293,4182.778445518076,2023-04
10005,2023-04,4182.778445518076,4231.87617016793,2023-05
10005,2023-05,4231.87617016793,4281.932448029012,2023-06
10005,2023-06,4281.932448029012,4311.0342504422415,2023-07
10005,2023-07,4311.0342504422415,4345.980458523213,2023-08
10005,2023-08,4345.980458523213,4350.667390012878,2023-09
10005,2023-09,4350.667390012878,4381.791726435054,2023-10
10005,2023-10,4381.791726435054,4328.693059825212,2023-11
10005,2023-11,4328.693059825212,4304.573453745046,2023-12
10006,2022-01,3715.987523548664,3768.126099722872,2022-02
10006,2022-02,3768.126099722872,3867.258994012735,2022-03
10006,2022-03,3867.258994012735,3934.737045177144,2022-04
10006,2022-04,3934.737045177144,4018.561091692997,2022-05
10006,2022-05,4018.561091692997,4068.7516137945295,2022-06
10006,2022-06,4068.7516137945295,4112.814895407506,2022-07
10006,2022-07,4112.814895407506,4100.922917496593,2022-08
10006,2022-08,4100.922917496593,4085.9089484143033,2022-09
10006,2022-09,4085.9089484143033,4140.329752414006,2022-10
10006,2022-10,4140.329752414006,4083.3417654357313,2022-11
10006,2022-11,4083.3417654357313,4000.4134749966856,2022-12
10006,2022-12,4000.4134749966856,3875.491234498212,2023-01
10006,2023-01,3875.491234498212,3893.909579769349,2023-02
10006,2023-02,3893.909579769349,3998.2510541777096,2023-03
10006,2023-03,3998.2510541777096,4095.478281540862,2023-04
10006,2023-04,4095.478281540862,4179.2871361852,2023-05
10006,2023-05,4179.2871361852,4209.63139781053,2023-06
10006,2023-06,4209.63139781053,4213.573859757677,2023-07
10006,2023-07,4213.573859757677,4188.744674128757,2023-08
10006,2023-08,4188.744674128757,4194.480131620947,2023-09
10006,2023-09,4194.480131620947,4186.793234473005,2023-10
10006,2023-10,4186.793234473005,4171.019332660081,2023-11
10006,2023-11,4171.019332660081,4096.966267730371,2023-12
10007,2022-01,6065.173223758761,6138.198268274044,2022-02
10007,2022-02,6138.198268274044,6183.221582250939,2022-03
10007,2022-03,6183.221582250939,6268.082171302415,2022-04
10007,2022-04,6268.082171302415,6282.341738035511,2022-05
10007,2022-05,6282.341738035511,6371.689005547992,2022-06
10007,2022-06,6371.689005547992,6431.820915793361,2022-07
10007,2022-07,6431.820915793361,6476.676368394439,2022-08
10007,2022-08,6476.676368394439,6548.499010143671,2022-09
10007,2022-09,6548.499010143671,6548.327336688214,2022-10
10007,2022-10,6548.327336688214,6504.663452070013,2022-11
10007,2022-11,6504.663452070013,6352.85380289837,2022-12
10007,2022-12,6352.85380289837,6359.372538672899,2023-01
10007,2023-01,6359.372538672899,6377.23215333493,2023-02
10007,2023-02,6377.23215333493,6574.072653969628,2023-03
10007,2023-03,6574.072653969628,6675.227447216461,2023-04
10007,2023-04,6675.227447216461,6834.235714971579,2023-05
10007,2023-05,6834.235714971579,6802.383041760952,2023-06
10007,2023-06,6802.383041760952,6757.833009810745,2023-07
10007,2023-07,6757.833009810745,6733.203856166623,2023-08
10007,2023-08,6733.203856166623,6711.4095064884,2023-09
10007,2023-09,6711.4095064884,6690.379309406617,2023-10
10007,2023-10,6690.379309406617,6653.0101576868665,2023-11
10007,2023-11,6653.0101576868665,6538.415709081102,2023-12
10009,2022-01,3314.851078848329,3334.199245259764,2022-02
10009,2022-02,3334.199245259764,3379.8344763829045,2022-03
10009,2022-03,3379.8344763829045,3470.1076758367285,2022-04
10009,2022-04,3470.1076758367285,3558.237759383013,2022-05
10009,2022-05,3558.237759383013,3647.4156544705206,2022-06
10009,2022-06,3647.4156544705206,3710.295783823764,2022-07
10009,2022-07,3710.295783823764,3743.971605085507,2022-08
10009,2022-08,3743.971605085507,3738.0701342969087,2022-09
10009,2022-09,3738.0701342969087,3680.9525423718674,2022-10
10009,2022-10,3680.9525423718674,3615.107241763699,2022-11
10009,2022-11,3615.107241763699,3573.784446010932,2022-12
10009,2022-12,3573.784446010932,3543.146500607078,2023-01
10009,2023-01,3543.146500607078,3546.0224163120274,2023-02
10009,2023-02,3546.0224163120274,3559.649347095901,2023-03
10009,2023-03,3559.649347095901,3623.1738725858513,2023-04
10009,2023-04,3623.1738725858513,3707.7867403146174,2023-05
10009,2023-05,3707.7867403146174,3770.507224235537,2023-06
10009,2023-06,3770.507224235537,3808.226800857648,2023-07
10009,2023-07,3808.226800857648,3798.708518980449,2023-08
10009,2023-08,3798.708518980449,3783.723940775636,2023-09
10009,2023-09,3783.723940775636,3730.639439048721,2023-10
10009,2023-10,3730.639439048721,3697.357654978564,2023-11
10009,2023-11,3697.357654978564,3646.250036528269,2023-12
10010,2022-01,4058.361701500468,4088.364748747226,2022-02
10010,2022-02,4088.364748747226,4146.02500159123,2022-03
10010,2022-03,4146.02500159123,4210.97604044633,2022-04
10010,2022-04,4210.97604044633,4280.851690568901,2022-05
10010,2022-05,4280.851690568901,4358.2954169521645,2022-06
10010,2022-06,4358.2954169521645,4451.942119678678,2022-07
10010,2022-07,4451.942119678678,4495.388599907652,2022-08
10010,2022-08,4495.388599907652,4492.823959904726,2022-09
10010,2022-09,4492.823959904726,4478.718834459498,2022-10
